,interactor A,interactor B,prob
78,DIP-7648N|refseq:NP_013360|uniprotkb:P19882,DIP-2292N|refseq:NP_009685|uniprotkb:P16140,1.0
79,DIP-411N|refseq:NP_012579|uniprotkb:P12398,DIP-1605N|refseq:NP_009755|uniprotkb:P12709,1.0
80,DIP-854N|refseq:NP_013625|uniprotkb:P09733,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
81,DIP-411N|refseq:NP_012579|uniprotkb:P12398,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
82,DIP-152N|refseq:NP_010939|uniprotkb:P32569,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
83,DIP-1691N|refseq:NP_013647|uniprotkb:P38987,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
84,DIP-7648N|refseq:NP_013360|uniprotkb:P19882,DIP-1605N|refseq:NP_009755|uniprotkb:P12709,1.0
85,DIP-7648N|refseq:NP_013360|uniprotkb:P19882,DIP-3028N|refseq:NP_012655|uniprotkb:P00830,1.0
86,DIP-2697N|refseq:NP_012526|uniprotkb:P47079,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
87,DIP-17N|refseq:NP_015435|uniprotkb:P07703,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
88,DIP-3028N|refseq:NP_012655|uniprotkb:P00830,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
89,DIP-8128N|refseq:NP_009717|uniprotkb:P38286,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
90,DIP-728N|refseq:NP_014210|uniprotkb:Q02821,DIP-3988N|refseq:NP_009628|uniprotkb:P15992,1.0
91,DIP-411N|refseq:NP_012579|uniprotkb:P12398,DIP-2333N|refseq:NP_009576|uniprotkb:P04385,1.0
92,DIP-4888N|refseq:NP_009664|uniprotkb:P38264,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,1.0
93,DIP-7880N|uniprotkb:P04173,DIP-3028N|refseq:NP_012655|uniprotkb:P00830,1.0
94,DIP-3025N|refseq:NP_009453|uniprotkb:P07251,DIP-1039N|refseq:NP_009718|uniprotkb:P00546,0.9999999940395355
95,DIP-7648N|refseq:NP_013360|uniprotkb:P19882,DIP-3030N|refseq:NP_013398|uniprotkb:Q12349,0.9999999940395355
96,DIP-5207N|refseq:NP_015089|uniprotkb:Q12464,DIP-1281N|refseq:NP_012624|uniprotkb:P47135,0.9999999940395355
97,DIP-7648N|refseq:NP_013360|uniprotkb:P19882,DIP-2251N|refseq:NP_014335|uniprotkb:P25491,0.9999999940395355
98,DIP-728N|refseq:NP_014210|uniprotkb:Q02821,DIP-3025N|refseq:NP_009453|uniprotkb:P07251,0.9999999940395355
99,DIP-7648N|refseq:NP_013360|uniprotkb:P19882,DIP-310N|refseq:NP_116614|uniprotkb:P60010,0.9999999940395355
