ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status		
DIP-696N|refseq:NP_009670|uniprotkb:P14922	DIP-665N|refseq:NP_011480|uniprotkb:P27705	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:7705659|pubmed:DIP-836S|pubmed:7724528|pubmed:DIP-417S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-68E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-376N|refseq:NP_010457|uniprotkb:P05453	DIP-376N|refseq:NP_010457|uniprotkb:P05453	-	-	-	-	MI:0872(atomic force microscopy)|MI:0007(anti tag coimmunoprecipitation)|MI:0017(classical fluorescence spectroscopy)|MI:0872(atomic force microscopy)|MI:0028(cosedimentation in solution)|MI:0017(classical fluorescence spectroscopy)|MI:0808(comigration in sds page)|MI:0077(nuclear magnetic resonance)|MI:0077(nuclear magnetic resonance)|MI:0020(transmission electron microscopy)	-	pubmed:19114662|pubmed:DIP-12652S|pubmed:21423195|pubmed:DIP-14632S|pubmed:17767153|pubmed:DIP-15968S|pubmed:17767153|pubmed:DIP-15968S|pubmed:19114662|pubmed:DIP-12652S|pubmed:21423194|pubmed:DIP-14631S|pubmed:19114662|pubmed:DIP-12652S|pubmed:21423194|pubmed:DIP-14631S|pubmed:17767153|pubmed:DIP-15968S|pubmed:19706519|pubmed:DIP-14364S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-100E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-376N|refseq:NP_010457|uniprotkb:P05453	DIP-800N|refseq:NP_009701|uniprotkb:P12385	 -	-	-	-	MI:0018(two hybrid)|MI:0013(biophysical)|MI:0019(coimmunoprecipitation)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:7556078|pubmed:DIP-397S|pubmed:7556078|pubmed:DIP-397S|pubmed:7556078|pubmed:DIP-397S|pubmed:11805826|pubmed:DIP-1768S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1102N|refseq:NP_010432|uniprotkb:P19262	DIP-41N|refseq:NP_116635|uniprotkb:P09624	 -	-	-	-	MI:0401(biochemical)|MI:0013(biophysical)|MI:0029(cosedimentation through density gradient)|MI:0401(biochemical)|MI:0676(tandem affinity purification)	-	pubmed:8575446|pubmed:DIP-434S|pubmed:8575446|pubmed:DIP-434S|pubmed:2072900|pubmed:DIP-2179S|pubmed:8575446|pubmed:DIP-434S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-123E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)		-
DIP-365N|refseq:NP_012141|uniprotkb:P20967	DIP-1102N|refseq:NP_010432|uniprotkb:P19262	 -	-	-	-	MI:0013(biophysical)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:8575446|pubmed:DIP-434S|pubmed:11805826|pubmed:DIP-1768S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-124E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-744N|refseq:NP_009684|uniprotkb:Q00764	DIP-823N|refseq:NP_010359|uniprotkb:P31688	 -	-	-	-	MI:0018(two hybrid)|MI:0676(tandem affinity purification)	-	pubmed:9194697|pubmed:DIP-343S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-126E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)		-
DIP-744N|refseq:NP_009684|uniprotkb:Q00764	DIP-753N|refseq:NP_013608|uniprotkb:P38427	 -	-	-	-	MI:0018(two hybrid)|MI:0676(tandem affinity purification)	-	pubmed:9194697|pubmed:DIP-343S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-128E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)		-
DIP-823N|refseq:NP_010359|uniprotkb:P31688	DIP-891N|refseq:NP_013988|uniprotkb:P38426	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9194697|pubmed:DIP-343S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-129E	dip-quality-status:core	dip:0002(small scale)		-
DIP-823N|refseq:NP_010359|uniprotkb:P31688	DIP-753N|refseq:NP_013608|uniprotkb:P38427	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9194697|pubmed:DIP-343S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-130E	dip-quality-status:core	dip:0002(small scale)		-
DIP-25N|refseq:NP_012903|uniprotkb:P09798	DIP-970N|refseq:NP_014227|uniprotkb:P53886	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)|MI:0096(pull down)|MI:0676(tandem affinity purification)|MI:0096(pull down)	-	pubmed:9469814|pubmed:DIP-498S|pubmed:8895471|pubmed:DIP-435S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21186364|pubmed:DIP-14614S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21186364|pubmed:DIP-14614S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21186364|pubmed:DIP-14614S|pubmed:21107322|pubmed:DIP-14770S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-133E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-352N|refseq:NP_116694|uniprotkb:P14724	DIP-25N|refseq:NP_012903|uniprotkb:P09798	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0029(cosedimentation through density gradient)|MI:0676(tandem affinity purification)|MI:0096(pull down)|MI:0676(tandem affinity purification)|MI:0096(pull down)	-	pubmed:9469814|pubmed:DIP-498S|pubmed:8895471|pubmed:DIP-435S|pubmed:8895471|pubmed:DIP-435S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21107322|pubmed:DIP-14770S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-134E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-970N|refseq:NP_014227|uniprotkb:P53886	DIP-970N|refseq:NP_014227|uniprotkb:P53886	-	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:21186364|pubmed:DIP-14614S|pubmed:8895471|pubmed:DIP-435S|pubmed:21186364|pubmed:DIP-14614S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-135E	dip-quality-status:core	dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)		-
DIP-589N|refseq:NP_012036|uniprotkb:P16522	DIP-25N|refseq:NP_012903|uniprotkb:P09798	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)|MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)	-	pubmed:9469814|pubmed:DIP-498S|pubmed:7925276|pubmed:DIP-246S|pubmed:8895471|pubmed:DIP-435S|pubmed:7925276|pubmed:DIP-246S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21186364|pubmed:DIP-14614S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21186364|pubmed:DIP-14614S|pubmed:21107322|pubmed:DIP-14770S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-136E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-796N|refseq:NP_009469|uniprotkb:P38042	DIP-25N|refseq:NP_012903|uniprotkb:P09798	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)|MI:0096(pull down)|MI:0096(pull down)|MI:0676(tandem affinity purification)	-	pubmed:9469814|pubmed:DIP-498S|pubmed:7925276|pubmed:DIP-246S|pubmed:7925276|pubmed:DIP-246S|pubmed:7925276|pubmed:DIP-246S|pubmed:8895471|pubmed:DIP-435S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21186364|pubmed:DIP-14614S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21107322|pubmed:DIP-14770S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-138E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-589N|refseq:NP_012036|uniprotkb:P16522	DIP-589N|refseq:NP_012036|uniprotkb:P16522	-	-	-	-	MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)	-	pubmed:7925276|pubmed:DIP-246S|pubmed:7925276|pubmed:DIP-246S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-139E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-589N|refseq:NP_012036|uniprotkb:P16522	DIP-796N|refseq:NP_009469|uniprotkb:P38042	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)	-	pubmed:7925276|pubmed:DIP-246S|pubmed:7925276|pubmed:DIP-246S|pubmed:8895471|pubmed:DIP-435S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-140E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-542N|refseq:NP_011014|uniprotkb:P00899	DIP-543N|refseq:NP_012711|uniprotkb:P00937	 -	-	-	-	MI:0401(biochemical)|MI:0676(tandem affinity purification)	-	pubmed:3881257|pubmed:DIP-1046S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-142E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)		-
DIP-1024N|refseq:NP_014947|uniprotkb:P07258	DIP-1023N|refseq:NP_012643|uniprotkb:P03965	 -	-	-	-	MI:0401(biochemical)	-	pubmed:206652|pubmed:DIP-676S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-143E	dip-quality-status:core	dip:0002(small scale)		-
DIP-811N|refseq:NP_013605|uniprotkb:Q04199	DIP-338N|refseq:NP_009754|uniprotkb:P13712	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:8743889|pubmed:DIP-218S|pubmed:21256037|pubmed:DIP-14675S|pubmed:21256037|pubmed:DIP-14675S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-144E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-923N|refseq:NP_015343|uniprotkb:Q12495	DIP-338N|refseq:NP_009754|uniprotkb:P13712	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)|MI:0398(two hybrid pooling approach)|MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11731480|pubmed:DIP-2153S|pubmed:8743889|pubmed:DIP-218S|pubmed:11283351|pubmed:DIP-1102S|pubmed:10688190|pubmed:DIP-513S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-145E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-923N|refseq:NP_015343|uniprotkb:Q12495	DIP-811N|refseq:NP_013605|uniprotkb:Q04199	 -	-	-	-	MI:0398(two hybrid pooling approach)|MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)|MI:0676(tandem affinity purification)|MI:0007(anti tag coimmunoprecipitation)|MI:0676(tandem affinity purification)	-	pubmed:11283351|pubmed:DIP-1102S|pubmed:11731480|pubmed:DIP-2153S|pubmed:8743889|pubmed:DIP-218S|pubmed:21256037|pubmed:DIP-14675S|pubmed:11805837|pubmed:DIP-1767S|pubmed:21256037|pubmed:DIP-14675S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-146E	dip-quality-status:core	dip:0005(high throughput)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0005(high throughput)|dip:0004(small scale)		-
DIP-44N|refseq:NP_011075|uniprotkb:P13393	DIP-839N|refseq:NP_011790|uniprotkb:P46677	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0401(biochemical)|MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)|MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)|MI:0019(coimmunoprecipitation)|MI:0049(filter binding)|MI:0019(coimmunoprecipitation)|MI:0071(molecular sieving)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:7935765|pubmed:DIP-215S|pubmed:9154807|pubmed:DIP-674S|pubmed:7935765|pubmed:DIP-215S|pubmed:9447997|pubmed:DIP-2163S|pubmed:12215531|pubmed:DIP-2095S|pubmed:8962109|pubmed:DIP-662S|pubmed:9154807|pubmed:DIP-674S|pubmed:9154807|pubmed:DIP-674S|pubmed:9154807|pubmed:DIP-674S|pubmed:9488488|pubmed:DIP-93S|pubmed:7935765|pubmed:DIP-215S|pubmed:11805826|pubmed:DIP-1768S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-154E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-839N|refseq:NP_011790|uniprotkb:P46677	DIP-1078N|refseq:NP_003185|uniprotkb:P20226	 -	-	-	-	MI:0401(biochemical)	-	pubmed:7935765|pubmed:DIP-215S	taxid:4932(Saccharomyces cerevisiae)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-155E	dip-quality-status:core	dip:0002(small scale)		-
DIP-343N|refseq:NP_009971|uniprotkb:P23255	DIP-44N|refseq:NP_011075|uniprotkb:P13393	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0045(experimental interaction detection)|MI:0045(experimental interaction detection)	-	pubmed:8178153|pubmed:DIP-31S|pubmed:8178153|pubmed:DIP-31S|pubmed:8178153|pubmed:DIP-31S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-159E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-906N|refseq:NP_010556|uniprotkb:P38995	DIP-813N|refseq:NP_014140|uniprotkb:P38636	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9346482|pubmed:DIP-17997S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-209E	dip-quality-status:core	dip:0004(small scale)		-
DIP-44N|refseq:NP_011075|uniprotkb:P13393	DIP-964N|refseq:NP_014359|uniprotkb:P46678	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:7568218|pubmed:DIP-128S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-217E	dip-quality-status:core	dip:0002(small scale)		-
DIP-191N|refseq:NP_011762|uniprotkb:P29056	DIP-964N|refseq:NP_014359|uniprotkb:P46678	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:7568218|pubmed:DIP-128S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-218E	dip-quality-status:core	dip:0002(small scale)		-
